"Jubilee","n.","A state of joy or exultation."
"Judge","v. t.","To determine upon or deliberation; to esteem; to think; to reckon."
"Judgment","v. i.","The final award; the last sentence."
"Jugular","a.","Any fish which has the ventral fins situated forward of the pectoral fins, or beneath the throat; one of a division of fishes (Jugulares)."
"Jump","adv.","Exactly; pat."
"Jumper","n.","One who, or that which, jumps."
"Junction","n.","The place or point of union, meeting, or junction; specifically, the place where two or more lines of railway meet or cross."
"Juncture","n.","A joining; a union; an alliance."
"Junior","n.","Hence: One of a lower or later standing; specifically, in American colleges, one in the third year of his course, one in the fourth or final year being designated a senior; in some seminaries, one in the first year, in others, one in the second year, of a three years' course."
"Just","n.","A joust."
"Justice","a.","The quality of being just; conformity to the principles of righteousness and rectitude in all things; strict performance of moral obligations; practical conformity to human or divine law; integrity in the dealings of men with each other; rectitude; equity; uprightness."
"Justification","n.","Adjustment of type by spacing it so as to make it exactly fill a line, or of a cut so as to hold it in the right place; also, the leads, quads, etc., used for making such adjustment."
"Justificative","a.","Having power to justify; justificatory."
"Justify","v. i.","To take oath to the ownership of property sufficient to qualify one's self as bail or surety."
"Juvenile","n.","A young person or youth; -- used sportively or familiarly."
"Juxtaposition","v. i.","A placing or being placed in nearness or contiguity, or side by side; as, a juxtaposition of words."
"Keen","superl.","Acute of mind; sharp; penetrating; having or expressing mental acuteness; as, a man of keen understanding; a keen look; keen features."
"Keenly","adv.","In a keen manner."
"Keep","n.","A cap for retaining anything, as a journal box, in place."
"Keeper","n.","One who, or that which, keeps; one who, or that which, holds or has possession of anything."
"Kernel","n.","A small mass around which other matter is concreted; a nucleus; a concretion or hard lump in the flesh."
"Key","n.","Fig: The general pitch or tone of a sentence or utterance."
"Kick","n.","The recoil of a musket or other firearm, when discharged."
"Kickable","a.","Capable or deserving of being kicked."
"Kid","n.","A small wooden mess tub; -- a name given by sailors to one in which they receive their food."
"Kill","v. t.","To destroy the effect of; to counteract; to neutralize; as, alkali kills acid."
"Killer","n.","A voracious, toothed whale of the genus Orca, of which several species are known."
"Kilo","n.","An abbreviation of Kilogram."
"Kilogram","n.","Alt. of Kilogramme"
"Label","n.","In mediaeval art, the representation of a band or scroll containing an inscription."
"Labeled","imp. & p. p.","of Label"
"Labial","n.","One of the scales which border the mouth of a fish or reptile."
"Labiate","n.","A plant of the order Labiatae."
"Labium","n.","Inner margin of the aperture of a shell."
"Labor","n.","A measure of land in Mexico and Texas, equivalent to an area of 177/ acres."
"Laborant","n.","A chemist."
"Laborer","n.","One who labors in a toilsome occupation; a person who does work that requires strength rather than skill, as distinguished from that of an artisan."
"Lac","n.","Alt. of Lakh"
"Lace","v. i.","To be fastened with a lace, or laces; as, these boots lace."
"Lack","n.","Deficiency; want; need; destitution; failure; as, a lack of sufficient food."
"Lacked","imp. & p. p.","of Lack"
"Lacking","p. pr. & vb. n.","of Lack"
"Lactin","n.","See Lactose."
"Lad","","p. p. of Lead, to guide."
"Ladder","v. i.","That which resembles a ladder in form or use; hence, that by means of which one attains to eminence."
"Lady","a.","Belonging or becoming to a lady; ladylike."
"Ladylike","a.","Delicate; tender; feeble; effeminate."
"Lake","n.","A large body of water contained in a depression of the earth's surface, and supplied from the drainage of a more or less extended area."
"Lamb","n.","A simple, unsophisticated person; in the cant of the Stock Exchange, one who ignorantly speculates and is victimized."
"Lame","superl.","Hence, hobbling; limping; inefficient; imperfect."
"Lamented","imp. & p. p.","of Lament"
"Lamenting","p. pr. & vb. n.","of Lament"
"Laminate","a.","Consisting of, or covered with, laminae, or thin plates, scales, or layers, one over another; laminated."
"Lamp","n.","A device or mechanism for producing light by electricity. See Incandescent lamp, under Incandescent."
"Land","n.","Urine. See Lant."
"Landlord","n.","The master of an inn or of a lodging house."
"Landscape","n.","The pictorial aspect of a country."
"Language","n.","A race, as distinguished by its speech."
"Lap","v. i.","To take up drink or food with the tongue; to drink or feed by licking up something."
"Lapse","v. t.","To let slip; to permit to devolve on another; to allow to pass."
"Large","n.","A musical note, formerly in use, equal to two longs, four breves, or eight semibreves."
"Larker","n.","One who indulges in a lark or frolic."
"Lash","n.","In carpet weaving, a group of strings for lifting simultaneously certain yarns, to form the figure."
"Last","a.","At a time next preceding the present time."
"Lastly","adv.","at last; finally."
"Late","a.","Far in the night, day, week, or other particular period; as, to lie abed late; to sit up late at night."
"Lather","v. t.","To beat severely with a thong, strap, or the like; to flog."
"Latin","v. t.","To write or speak in Latin; to turn or render into Latin."
"Laugh","v. i.","To show mirth, satisfaction, or derision, by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat; to indulge in laughter."
"Laughter","v. i.","A movement (usually involuntary) of the muscles of the face, particularly of the lips, with a peculiar expression of the eyes, indicating merriment, satisfaction, or derision, and usually attended by a sonorous and interrupted expulsion of air from the lungs. See Laugh, v. i."
"Lay","a.","A melody; any musical utterance."
"Laid","imp. & p. p.","of Lay"
"Layer","n.","An artificial oyster bed."
"Lazy","superl.","Wicked; vicious."
"Lead","n.","A small cylinder of black lead or plumbago, used in pencils."
"Leader","n.","a row of dots, periods, or hyphens, used in tables of contents, etc., to lead the eye across a space to the right word or number."
"Leadership","n.","The office of a leader."
"Leadhillite","n.","A mineral of a yellowish or greenish white color, consisting of the sulphate and carbonate of lead; -- so called from having been first found at Leadhills, Scotland."
"Leading","a.","Guiding; directing; controlling; foremost; as, a leading motive; a leading man; a leading example."
"Leadmen","pl. ","of Leadman"
"Leadman","n.","One who leads a dance."
"Leadsmen","pl. ","of Leadsman"
"Leadsman","n.","The man who heaves the lead."
"Leadwort","n.","A genus of maritime herbs (Plumbago). P. Europaea has lead-colored spots on the leaves, and nearly lead-colored flowers."
"Leady","a.","Resembling lead."
"Leaves","pl. ","of Leaf"
"Leaf","n.","Something which is like a leaf in being wide and thin and having a flat surface, or in being attached to a larger body by one edge or end; as : (a) A part of a book or folded sheet containing two pages upon its opposite sides. (b) A side, division, or part, that slides or is hinged, as of window shutters, folding doors, etc. (c) The movable side of a table. (d) A very thin plate; as, gold leaf. (e) A portion of fat lying in a separate fold or layer. (f) One of the teeth of a pinion, especially when small."
"Leafed","imp. & p. p.","of Leaf"
"Leafing","p. pr. & vb. n.","of Leaf"
"Leafage","n.","Leaves, collectively; foliage."
"Leafcup","n.","A coarse American composite weed (Polymnia Uvedalia)."
"Leafed","a.","Having (such) a leaf or (so many) leaves; -- used in composition; as, broad-leafed; four-leafed."
"Leafet","n.","A leaflet."
"Leaf-footed","a.","Having leaflike expansions on the legs; -- said of certain insects; as, the leaf-footed bug (Leptoglossus phyllopus)."
"Leafiness","n.","The state of being leafy."
"Leafless","a.","Having no leaves or foliage; bearing no foliage."
"Leaflet","n.","A leaflike organ or part; as, a leaflet of the gills of fishes."
"Leaf-nosed","n.","Having a leaflike membrane on the nose; -- said of certain bats, esp. of the genera Phyllostoma and Rhinonycteris. See Vampire."
"Leafstalk","n.","The stalk or petiole which supports a leaf."
"Leafy","superl","Full of leaves; abounding in leaves; as, the leafy forest."
"League","n.","A measure of length or distance, varying in different countries from about 2.4 to 4.6 English statute miles of 5.280 feet each, and used (as a land measure) chiefly on the continent of Europe, and in the Spanish parts of America. The marine league of England and the United States is equal to three marine, or geographical, miles of 6080 feet each."
"Lean","v. i.","To incline in opinion or desire; to conform in conduct; -- with to, toward, etc."
"Leap","n.","A passing from one note to another by an interval, especially by a long one, or by one including several other and intermediate intervals."
"Leaper","n.","One who, or that which, leaps."
"Learn","v. i.","To acquire knowledge or skill; to make progress in acquiring knowledge or skill; to receive information or instruction; as, this child learns quickly."
"Least","conj.","See Lest, conj."
"Leave","v. i.","To cease; to desist; to leave off."
"Leech","v. t.","To bleed by the use of leeches."
"Leg","n.","A limb or member of an animal used for supporting the body, and in running, climbing, and swimming; esp., that part of the limb between the knee and foot."
"Legacy","n.","A business with which one is intrusted by another; a commission; -- obsolete, except in the phrases last legacy, dying legacy, and the like."
"Legal","a.","Created by, permitted by, in conformity with, or relating to, law; as, a legal obligation; a legal standard or test; a legal procedure; a legal claim; a legal trade; anything is legal which the laws do not forbid."
"Legend","n.","A story respecting saints; especially, one of a marvelous nature."
"Legitimate","v. t.","To make legitimate, lawful, or valid; esp., to put in the position or state of a legitimate person before the law, by legal means; as, to legitimate a bastard child."
"Leisurably","adv.","At leisure."
"Leisure","n.","Freedom from occupation or business; vacant time; time free from employment."
"Lent","imp. & p. p.","of Lend"
"Lending","p. pr. & vb. n.","of Lend"
"Lend","v. t.","To allow the custody and use of, on condition of the return of the same; to grant the temporary use of; as, to lend a book; -- opposed to borrow."
"Lesson","n."," An exercise; a composition serving an educational purpose; a study."
"Let","v. i.","To be let or leased; as, the farm lets for $500 a year. See note under Let, v. t."
"Let-alone","a.","Letting alone."
"Letter","n.","A writing; an inscription."
"Level","a.","Of even tone; without rising or falling inflection."
"Levigate","a.","Made less harsh or burdensome; alleviated."
"Libel","v. t.","To proceed against by filing a libel, particularly against a ship or goods."
"Liberty","n.","Leave of absence; permission to go on shore."
"License","n.","That deviation from strict fact, form, or rule, in which an artist or writer indulges, assuming that it will be permitted for the sake of the advantage or effect gained; as, poetic license; grammatical license, etc."
"Lid","n.","The top of an ovary which opens transversely, as in the fruit of the purslane and the tree which yields Brazil nuts."
"Lie","n.","The position or way in which anything lies; the lay, as of land or country."
"Lieutenant","n.","A commissioned officer in the United States navy, in rank next below a lieutenant commander."
"Life","n.","Something dear to one as one's existence; a darling; -- used as a term of endearment."
"Lift","n.","That portion of the vibration of a balance during which the impulse is given."
"Light","superl","White or whitish; not intense or very marked; not of a deep shade; moderately colored; as, a light color; a light brown; a light complexion."
"Mad","n.","The name of a female fairy, esp. the queen of the fairies; and hence, sometimes, any fairy."
"Machine","v. t.","To subject to the action of machinery; to effect by aid of machinery; to print with a printing machine."
"Machiner","n.","One who or operates a machine; a machinist."
"Machinery","n.","Machines, in general, or collectively."
"Madonna","n.","A picture of the Virgin Mary (usually with the babe)."
"Madoqua","n.","A small Abyssinian antelope (Neotragus Saltiana), about the size of a hare."
"Madrague","n.","A large fish pound used for the capture of the tunny in the Mediterranean; also applied to the seines used for the same purpose."
"Madreperl","n.","Mother-of-pearl."
"Madrigal","n.","An unaccompanied polyphonic song, in four, five, or more parts, set to secular words, but full of counterpoint and imitation, and adhering to the old church modes. Unlike the freer glee, it is best sung with several voices on a part. See Glee."
"Madrigaler","n.","A madrigalist."
"Name","n.","A person, an individual."
"Named","imp. & p. p.","of Name"
"Naming","p. pr. & vb. n.","of Name"
"Nameless","a.","Unnamable; indescribable; inexpressible."
"Namelessly","adv.","In a nameless manner."
"Namely","adv.","That is to say; to wit; videlicet; -- introducing a particular or specific designation."
"Namer","n.","One who names, or calls by name."
"Namesake","n.","One that has the same name as another; especially, one called after, or named out of regard to, another."
"Namo","adv.","No more."
"Nandine","n.","An African carnivore (Nandinia binotata), allied to the civets. It is spotted with black."
"Nandu","n.","Any one of three species of South American ostriches of the genera Rhea and Pterocnemia. See Rhea."
"Nankeen","n.","Trousers made of nankeen."
"Nanny","n.","A diminutive of Ann or Anne, the proper name."
"Nannyberry","n.","See Sheepberry."
"Nanpie","n.","The magpie."
"Naos","n.","A term used by modern archaeologists instead of cella. See Cella."
"Napped","imp. & p. p.","of Nap"
"Napping","p. pr. & vb. n.","of Nap"
"Nap","v. i.","To have a short sleep; to be drowsy; to doze."
"Napkin","n.","A handkerchief."
"Narrow","superl.","Formed (as a vowel) by a close position of some part of the tongue in relation to the palate; or (according to Bell) by a tense condition of the pharynx; -- distinguished from wide; as e (eve) and / (f/d), etc., from i (ill) and / (f/t), etc. See Guide to Pronunciation, / 13."
"Nasal","n.","A plate, or scale, on the nose of a fish, etc."
"Nasality","n.","The quality or state of being nasal."
"Nasty","superl.","Hence, loosely: Offensive; disagreeable; unpropitious; wet; drizzling; as, a nasty rain, day, sky."
"National","a.","Attached to one's own country or nation."
"Nationalism","n.","The state of being national; national attachment; nationality."
"Native","n.","Any of the live stock found in a region, as distinguished from such as belong to pure and distinct imported breeds."
"Natural","n.","A character [/] used to contradict, or to remove the effect of, a sharp or flat which has preceded it, and to restore the unaltered note."
"Naturalism","n.","A state of nature; conformity to nature."
"Nature","v. t.","To endow with natural qualities."
"Near","adv.","To approach; to come nearer; as, the ship neared the land."
"Neat","a.","With all deductions or allowances made; net. [In this sense usually written net. See Net, a., 3.]"
"Necessarily","adv.","In a necessary manner; by necessity; unavoidably; indispensably."
"Necessariness","n.","The quality of being necessary."
"Necessary","a.","Such as must be; impossible to be otherwise; not to be avoided; inevitable."
"Neck","n.","A reduction in size near the end of an object, formed by a groove around it; as, a neck forming the journal of a shaft."
"Nectary","n.","That part of a blossom which secretes nectar, usually the base of the corolla or petals; also, the spur of such flowers as the larkspur and columbine, whether nectariferous or not. See the Illustration of Nasturtium."
"Need","adv.","Of necessity. See Needs."
"Needer","n.","One who needs anything."
"Needful","a.","Full of need; in need or want; needy; distressing."
"Needily","adv.","In a needy condition or manner; necessarily."
"Neediness","n.","The state or quality of being needy; want; poverty; indigence."
"Needle","n.","A small instrument of steel, sharply pointed at one end, with an eye to receive a thread, -- used in sewing."
"Negative","n.","A picture upon glass or other material, in which the light portions of the original are represented in some opaque material (usually reduced silver), and the dark portions by the uncovered and transparent or semitransparent ground of the picture."
"Neglect","v.","The state of being disregarded, slighted, or neglected."
"Negotiate","v. t.","To transfer for a valuable consideration under rules of commercial law; to sell; to pass."
"Negotiation","n.","The act or process of negotiating; a treating with another respecting sale or purchase. etc."
"Neighbor","v. i.","To dwell in the vicinity; to be a neighbor, or in the neighborhood; to be near."
"Neighborhood","n.","The quality or condition of being a neighbor; the state of being or dwelling near; proximity."
"Nerve","n.","One of the nervures, or veins, in the wings of insects."
"Nest","n.","An aggregated mass of any ore or mineral, in an isolated state, within a rock."
"Net","a.","Not including superfluous, incidental, or foreign matter, as boxes, coverings, wraps, etc.; free from charges, deductions, etc; as, net profit; net income; net weight, etc."
"Network","n.","Any system of lines or channels interlacing or crossing like the fabric of a net; as, a network of veins; a network of railroads."
"Neuter","a.","Neither the one thing nor the other; on neither side; impartial; neutral."
"Newborn","a.","Recently born."
"Newcome","a.","Recently come."
"Newcomer","n.","One who has lately come."
"Newel","n.","A novelty; a new thing."
"Next","adv.","In the time, place, or order nearest or immediately suceeding; as, this man follows next."
"Nice","superl.","Pleasing; agreeable; gratifying; delightful; good; as, a nice party; a nice excursion; a nice person; a nice day; a nice sauce, etc."
"Nicely","adv.","In a nice manner."
"Nicker","v. t.","The cutting lip which projects downward at the edge of a boring bit and cuts a circular groove in the wood to limit the size of the hole that is bored."
"Nicker nut","","A rounded seed, rather smaller than a nutmeg, having a hard smooth shell, and a yellowish or bluish color. The seeds grow in the prickly pods of tropical, woody climbers of the genus Caesalpinia. C. Bonduc has yellowish seeds; C. Bonducella, bluish gray."
"Niggle","v. t.","To trifle or play."
"Night","n.","A lifeless or unenlivened period, as when nature seems to sleep."
"Noble","v. t.","To make noble; to ennoble."
"Noblemen","pl. ","of Nobleman"
"Nod","n.","A quick or slight downward or forward motion of the head, in assent, in familiar salutation, in drowsiness, or in giving a signal, or a command."
"Nodal","a.","Of the nature of, or relating to, a node; as, a nodal point."
"Nog","n.","A treenail to fasten the shores."
"Noise","v. t.","To disturb with noise."
"Noiseful","a.","Loud; clamorous."
"Nominal","n.","A name; an appellation."
"Nominalism","n.","The principles or philosophy of the Nominalists."
"Nonexistence","n.","Absence of existence; the negation of being; nonentity."
"Nonsense","n.","That which is not sense, or has no sense; words, or language, which have no meaning, or which convey no intelligible ideas; absurdity."
"Normal","a.","A straight line or plane drawn from any point of a curve or surface so as to be perpendicular to the curve or surface at that point."
"Nose","v. i.","To pry officiously into what does not concern one."
"Nosebag","n.","A bag in which feed for a horse, ox, or the like, may be fastened under the nose by a string passing over the head."
"Noseband","n.","That part of the headstall of a bridle which passes over a horse's nose."
"Nosebleed","n.","A bleeding at the nose."
"Nosebleed","n.","The yarrow. See Yarrow."
"Nosed","a.","Having a nose, or such a nose; -- chieflay used in composition; as, pug-nosed."
"Nosegay","n.","A bunch of odorous and showy flowers; a bouquet; a posy."
"Nosel","v. t.","To nurse; to lead or teach; to foster; to nuzzle."
"Noseless","a.","Destitute of a nose."
"Nosesmart","n.","A kind of cress, a pungent cruciferous plant, including several species of the genus Nasturtium."
"Nosethril","n.","Nostril."
"Nosing","n.","That part of the treadboard of a stair which projects over the riser; hence, any like projection, as the projecting edge of a molding."
"Nosle","n.","Nozzle."
"Nosocomial","a.","Of or pertaining to a hospital; as, nosocomial atmosphere."
"Nosography","n.","A description or classification of diseases."
"Nosological","a.","Of or pertaining to nosology."
"Nosologist","n.","One versed in nosology."
"Nosology","n.","A systematic arrangement, or classification, of diseases."
"Nosopoetic","a.","Producing diseases."
"Nost","","Wottest not; knowest not."
"Nostalgia","n.","Homesickness; esp., a severe and sometimes fatal form of melancholia, due to homesickness."
"Nostalgic","a.","Of or pertaining to nostalgia; affected with nostalgia."
"Nostalgy","n.","Same as Nostalgia."
"Nostoc","n.","A genus of algae. The plants are composed of moniliform cells imbedded in a gelatinous substance."
"Nostril","n.","One of the external openings of the nose, which give passage to the air breathed and to secretions from the nose and eyes; one of the anterior nares."
"Nostrum","n.","Any scheme or device proposed by a quack."
"Not","adv.","A word used to express negation, prohibition, denial, or refusal."
"Notabilia","n. pl.","Things worthy of notice."
"Notabilities","pl. ","of Notability"
"Notability","n.","A notable saying."
"Notable","n.","One of a number of persons, before the revolution of 1789, chiefly of the higher orders, appointed by the king to constitute a representative body."
"Notableness","n.","The quality of being notable."
"Notably","adv.","In a notable manner."
"Notate","a.","Marked with spots or lines, which are often colored."
"Notation","n.","The act or practice of recording anything by marks, figures, or characters."
"Notch","n.","A narrow passage between two elevation; a deep, close pass; a defile; as, the notch of a mountain."
"Notched","imp. & p. p.","of Notch"
"Notching","p. pr. & vb. n.","of Notch"
"Notch","v. t.","To cut or make notches in ; to indent; also, to score by notches; as, to notch a stick."
"Notching","n.","A method of excavating, as in a bank, by a series of cuttings side by side. See also Gulleting."
"Notchweed","n.","A foul-smelling weed, the stinking goosefoot (Chenopodium Vulvaria)."
"Note","n.","Stigma; brand; reproach."
"Noted","imp. & p. p.","of Note"
"Noting","p. pr. & vb. n.","of Note"
"Notebook","n.","A book in which notes or memorandums are written."
"Noted","a.","Well known by reputation or report; eminent; celebrated; as, a noted author, or traveler."
"Noteful","a.","Useful."
"Noteless","a.","Not attracting notice; not conspicuous."
"Notelessness","n.","A state of being noteless."
"Notelet","n.","A little or short note; a billet."
"Note paper","","Writing paper, not exceeding in size, when folded once, five by eight inches."
"Noter","n.","One who takes notice."
"Noteworthy","a.","Worthy of observation or notice; remarkable."
"Nother","conj.","Neither; nor."
"Nothing","adv.","In no degree; not at all; in no wise."
"Notice","n.","Attention; respectful treatment; civility."
"Noticed","imp. & p. p.","of Notice"
"Noticing","p. pr. & vb. n.","of Notice"
"Noticeable","a.","Capable of being observed; worthy of notice; likely to attract observation; conspicous."
"Noticeably","adv.","In a noticeable manner."
"Notification","n.","The writing which communicates information; an advertisement, or citation, etc."
"Notified","imp. & p. p.","of Notify"
"Notifying","p. pr. & vb. n.","of Notify"
"Notion","","Inclination; intention; disposition; as, I have a notion to do it."
"Notional","a.","Consisting of, or conveying, notions or ideas; expressing abstract conceptions.""Notionality","n.","A notional or groundless opinion."
"Notionally","adv.","In mental apprehension; in conception; not in reality."
"Notionate","a.","Notional."
"Notionist","n.","One whose opinions are ungrounded notions."
"Notist","n.","An annotator."
"Notobranchiata","n. pl.","A division of nudibranchiate mollusks having gills upon the back."
"Notobranchiata","n. pl.","The Dorsibranchiata."
"Notobranchiate","a.","Of or pertaining to the Notobranchiata."
"Notochord","n.","An elastic cartilagelike rod which is developed beneath the medullary groove in the vertebrate embryo, and constitutes the primitive axial skeleton around which the centra of the vertebrae and the posterior part of the base of the skull are developed; the chorda dorsalis. See Illust. of Ectoderm."
"Notochordal","a.","Of or pertaining to the notochord; having a notochord."
"Notodontian","n.","Any one of several species of bombycid moths belonging to Notodonta, Nerice, and allied genera. The caterpillar of these moths has a hump, or spine, on its back."
"Notopodia","pl. ","of Notopodium"
"Notopodiums","pl. ","of Notopodium"
"Notopodium","n.","The dorsal lobe or branch of a parapodium. See Parapodium."
"Notorhizal","a.","Having the radicle of the embryo lying against the back of one of the cotyledons; incumbent."
"Notoriety","n.","The quality or condition of being notorious; the state of being generally or publicly known; -- commonly used in an unfavorable sense; as, the notoriety of a crime."
"Notorious","a.","Generally known and talked of by the public; universally believed to be true; manifest to the world; evident; -- usually in an unfavorable sense; as, a notorious thief; a notorious crime or vice."
"Notornis","n.","A genus of birds allied to the gallinules, but having rudimentary wings and incapable of flight. Notornis Mantelli was first known as a fossil bird of New Zealand, but subsequently a few individuals were found living on the southern island. It is supposed to be now nearly or quite extinct."
"Nototherium","n.","An extinct genus of gigantic herbivorous marsupials, found in the Pliocene formation of Australia."
"Nototrema","n.","The pouched, or marsupial, frog of South America."
"Not-pated","a.","Alt. of Nott-pated"
"Nott","v. t.","To shear."
"Nott-headed","a.","Having the hair cut close."
"Notturno","n.","Same as Nocturne."
"Nota","pl. ","of Notum"
"Notum","n.","The back."
"Notus","n.","The south wind."
"Notwheat","n.","Wheat not bearded."
"Notwithstanding","prep.","Without prevention, or obstruction from or by; in spite of."
"Notwithstanding","adv. / conj.","Nevertheless; however; although; as, I shall go, notwithstanding it rains."
"Nouch","n.","An ouch; a jewel."
"Nougat","n.","A cake, sweetmeat, or confection made with almonds or other nuts."
"Nought","n. & adv.","See Naught."
"Nould","","Would not."
"Noule","n.","The top of the head; the head or noll."
"Noumenal","a.","Of or pertaining to the noumenon; real; -- opposed to phenomenal."
"Noumenon","n.","The of itself unknown and unknowable rational object, or thing in itself, which is distinguished from the phenomenon through which it is apprehended by the senses, and by which it is interpreted and understood; -- so used in the philosophy of Kant and his followers."
"Noun","n.","A word used as the designation or appellation of a creature or thing, existing in fact or in thought; a substantive."
"Nounal","a.","Of or pertaining to a noun."
"Nounize","v. t.","To change (an adjective, verb, etc.) into a noun."
"Nourice","n.","A nurse."
"Nourished","imp. & p. p.","of Nourish"
"Nourishing","p. pr. & vb. n.","of Nourish"
"Nourish","n.","A nurse."
"Nourishable","a.","Capable of being nourished; as, the nourishable parts of the body."
"Nourishable","a.","Capable of giving nourishment."
"Nourisher","n.","One who, or that which, nourishes."
"Nourishing","a.","Promoting growth; nutritious,"
"Nourishingly","adv.","Nutritively; cherishingly."
"Nourishment","n.","The act of nourishing, or the state of being nourished; nutrition."
"Nouriture","n.","Nurture."
"Novel","a.","A new or supplemental constitution. See the Note under Novel, a."
"Novelette","n.","A short novel."
"Novelism","n.","Innovation."
"Novelist","n.","A writer of a novel or novels."
"Novelize","v. i.","To innovate."
"Novelized","imp. & p. p.","of Novelize"
"Novelizing","p. pr. & vb. n.","of Novelize"
"Novelize","v. t.","To innovate."
"Novelry","n.","Novelty; new things."
"Novelties","pl. ","of Novelty"
"Novelty","n.","Something novel; a new or strange thing."
"November","n.","The eleventh month of the year, containing thirty days."
"Novenary","n.","The number of nine units; nine, collectively."
"Novene","a.","Relating to, or dependent on, the number nine; novenary."
"Novennial","a.","Done or recurring every ninth year."
"Novercal","a.","Of or pertaining to a stepmother; suitable to, or in the manner of, a stepmother."
"Novice","a.","Like a novice; becoming a novice."
"Noviceship","n.","The state of being a novice; novitiate."
"Novilunar","a.","Of or pertaining to the new moon."
"Novitiate","n.","The place where novices live or are trained."
"Novitious","a.","Newly invented; recent; new."
"Novity","n.","Newness; novelty."
"Now","n.","The present time or moment; the present."
"Nowadays","adv.","In these days; at the present time."
"Noway","adv.","Alt. of Noways"
"Noways","adv.","In no manner or degree; not at all; nowise."
"Nowel","n.","The core, or the inner part, of a mold for casting a large hollow object."
"Nowhere","adv.","Not anywhere; not in any place or state; as, the book is nowhere to be found."
"Nowhither","adv.","Not anywhither; in no direction; nowhere."
"Nowise","n.","Not in any manner or degree; in no way; noways."
"Nowt","n. pl.","Neat cattle."
"Nowthe","","See Nouthe."
"Noxious","a.","Hurtful; harmful; baneful; pernicious; injurious; destructive; unwholesome; insalubrious; as, noxious air, food, or climate; pernicious; corrupting to morals; as, noxious practices or examples."
"Nozzle","n."," A short outlet, or inlet, pipe projecting from the end or side of a hollow vessel, as a steam-engine cylinder or a steam boiler."
"Nuance","n.","A shade of difference; a delicate gradation."
"Nubbin","n.","A small or imperfect ear of maize."
"Nubble","v. t.","To beat or bruise with the fist."
"Nubeculae","pl. ","of Nubecula"
"Nubecula","n.","A nebula."
"Nubigenous","a.","Born of, or produced from, clouds."
"Nubilate","v. t.","To cloud."
"Nubile","a.","Of an age suitable for marriage; marriageable."
"Nubility","n.","The state of being marriageable."
"Nubilose","a.","Alt. of Nubilous"
"Nucleus","n.","The tip, or earliest part, of a univalve or bivalve shell."
"Nude","a.","Naked; without consideration; void; as, a nude contract. See Nudum pactum."
"Nudge","imp. & p. p.","of Nudge"
"Nudging","p. pr. & vb. n.","of Nudge"
"Null","n.","One of the beads in nulled work."
"Nulled","a.","Turned so as to resemble nulls."
"Nullibiety","n.","The state or condition of being nowhere."
"Nullification","n.","The act of nullifying; a rendering void and of no effect, or of no legal effect."
"Nullifidian","a.","Of no faith; also, not trusting to faith for salvation; -- opposed to solifidian."
"Nullifier","n.","One who nullifies or makes void; one who maintains the right to nullify a contract by one of the parties."
"Nullified","imp. & p. p.","of Nullify"
"Nullifying","p. pr. & vb. n.","of Nullify"
"Nullify","a.","To make void; to render invalid; to deprive of legal force or efficacy."
"Nullipore","n.","A name for certain crustaceous marine algae which secrete carbonate of lime on their surface, and were formerly thought to be of animal nature. They are now considered corallines of the genera Melobesia and Lithothamnion."
"Nullities","pl. ","of Nullity"
"Nullity","n.","The quality or state of being null; nothingness; want of efficacy or force."
"Nullity","n.","Nonexistence; as, a decree of nullity of marriage is a decree that no legal marriage exists."
"Numb","v. t.","To make numb; to deprive of the power of sensation or motion; to render senseless or inert; to deaden; to benumb; to stupefy."
"Number","n.","The measure of the relation between quantities or things of the same kind; that abstract species of quantity which is capable of being expressed by figures; numerical value."
"Numbered","imp. & p. p.","of Number"
"Numbering","p. pr & vb. n.","of Number"
"Numerable","v. t.","Capable of being numbered or counted."
"Numeral","n.","A word expressing a number."
"Numerally","adv.","According to number; in number; numerically."
"Numerary","a.","Belonging to a certain number; counting as one of a collection or body."
"Numerated","imp. & p. p.","of Numerate"
"Numerating","p. pr. & vb. n.","of Numerate"
"Numerate","v.","To divide off and read according to the rules of numeration; as, to numerate a row of figures."
"Numeration","n.","The act or art of numbering."
"Numeration","n.","The act or art of reading numbers when expressed by means of numerals. The term is almost exclusively applied to the art of reading numbers written in the scale of tens, by the Arabic method."
"Numerator","n.","The term in a fraction which indicates the number of fractional units that are taken."
"Numeric","n.","Alt. of Numerical"
"Numerical","n.","Belonging to number; denoting number; consisting in numbers; expressed by numbers, and not letters; as, numerical characters; a numerical equation; a numerical statement."
"Oaf","n.","Originally, an elf's child; a changeling left by fairies or goblins; hence, a deformed or foolish child; a simpleton; an idiot."
"Oafish","a.","Like an oaf; simple."
"Oak","n.","Any tree or shrub of the genus Quercus. The oaks have alternate leaves, often variously lobed, and staminate flowers in catkins. The fruit is a smooth nut, called an acorn, which is more or less inclosed in a scaly involucre called the cup or cupule. There are now recognized about three hundred species, of which nearly fifty occur in the United States, the rest in Europe, Asia, and the other parts of North America, a very few barely reaching the northern parts of South America and Africa. Many of the oaks form forest trees of grand proportions and live many centuries. The wood is usually hard and tough, and provided with conspicuous medullary rays, forming the silver grain."
"Oaken","a.","Made or consisting of oaks or of the wood of oaks."
"Oaker","n.","See Ocher."
"Oakling","n.","A young oak."
